	productname	categorycode	categoryname
0	MIDWEST COUNTRY FAIR CHOCOLATE FLAVORED CHIPS	3	Bakery Prod/Dough/Mix/Icing
2	KROGER CLASSIC CREAM-DE-MINT CANDY MINT CHIP ICE CREAM	13	Ice Cream Prod
3	ENFAMIL LIPIL BABY FORMULA	40	Baby Food Prod
4	ENFIMIL LIPIL BABY FORMULA	40	Baby Food Prod
5	FRITO LAY FUNYUNS ONION FLAVOR, ONION RINGS	7	Snack Food Item
6	GRAPE	20	Fruit/Fruit Prod
7	HERBALIFE RELAX NOW	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
8	HERBALIFE TOTAL CONTROL	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
9	YOHIMBE	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
10	CAL-C PEACH TROPIC ENRICHED BEVERAGE BLEND	29	Soft Drink/Water
13	I CONTACT LIP-INK (SEMI-PERMANENT)	53	Cosmetics
14	H.P. HOOD HALF AND HALF	9	Milk/Butter/Dried Milk Prod
15	LACTAID REDUCED FAT (2%) MILK; 100% LACTOSE FREE	9	Milk/Butter/Dried Milk Prod
16	METOBOLITE 356	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
17	METABOLIFE	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
18	METABOLIFE METABOLIFE	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
19	ENIVA MINERALS FOR LIFE-SILVER	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
20	AVLIMIL	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
22	COFFEE	31	Coffee/Tea
23	DIET CAFFEINE FREE COKE	29	Soft Drink/Water
24	DIET COKE	29	Soft Drink/Water
25	DIET PEPSI	29	Soft Drink/Water
26	DIET SPRITE	29	Soft Drink/Water
27	JAMS	22	Fruit/Fruit Prod
28	LISTERINE STRIPS	53	Cosmetics
29	NUTRASWEET	45	Food Additives (Human Use)
30	PUDDINGS	35	Gelatin/Rennet/Pudding Mix/Pie Filling
31	TEA	31	Coffee/Tea
33	GATORADE SPORTS DRINK	29	Soft Drink/Water
34	TOOTHPASTE	53	Cosmetics
35	FLEXIUM SAM-E	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
36	BREATHE EASY TEA	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
37	RIPPED FUEL	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
38	SIBERIAN GINSENG	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
39	EPHEDRA	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
41	PRODUCTS CONTAINING EPHEDRA	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
42	EPHEDRINE MULTI-ACTION	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
43	STACKER 3 WITH CHITOSAN EPHEDRA FREE FORMULA	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
44	ZANTREX 3	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
45	XENADRINE	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
46	ROMA PIZZA	37	Mult Food Dinner/Grav/Sauce/Special
55	DORMANS SWISS CHEESE	12	Cheese/Cheese Prod
56	HERBS FOR LIFE GHR-GOLDALL NATURAL GROWTH HORMONE RELEASER NUTRITIONAL SUPPLEMENT	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
57	MARUCHAN CREAMY PESTO INSTANT LUNCH NOODLES	4	Macaroni/Noodle Prod
58	SUNSWEET PRUNES	21	Fruit/Fruit Prod
59	VICENZI NOCCIOLA (COOKIES)	3	Bakery Prod/Dough/Mix/Icing
60	YEO HIAP SENG (M) BHD YEO'S SOYA BEAN DRINK VIETAMESE STYLE	24	Vegetables/Vegetable Products
61	JELLO OREO PUDDING SNACKS	35	Gelatin/Rennet/Pudding Mix/Pie Filling
62	SNAPPLE DIET LEMON ICED TEA	31	Coffee/Tea
63	TOPS BRAND FROSTED FLAKES (CORN FLAKES)	5	Cereal Prep/Breakfast Food
64	ENSURE DRINK	41	Dietary Conv Food/Meal Replacements
65	REESE'S FAST BREAK PEANUT BUTTER AND NOUGAT CHOCOLATE BAR	34	Choc/Cocoa Prod
66	SUNDOWN SAW PALMETTO	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
67	FRITO LAY WAVY RANCH POTATO CHIPS	7	Snack Food Item
68	POST WAFFLE CRISP	5	Cereal Prep/Breakfast Food
69	POPSICLES SPIDERMAN FIRECRACKER SUPER HEROES POPSICLES	13	Ice Cream Prod
70	CAPRI SUN FRUIT PUNCH	21	Fruit/Fruit Prod
71	JADRANKA TRADITIONAL PASTEURIZED RED PEPPERS	24	Vegetables/Vegetable Products
72	AVACOR NUTRA CAP TABLETS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
73	AVACOR SHAMPOO	53	Cosmetics
74	SOY BITE COOKIE (SOYBEAN)	3	Bakery Prod/Dough/Mix/Icing
75	MCCORMICK SALAD TOPPINS	23	Nuts/Edible Seed
76	GRILYAZZH RASPBERRY CANDY NUTS	33	Candy W/O Choc/Special/Chew Gum
77	BALANCE BAR CHOCOLATE CRUNCH	7	Snack Food Item
78	BAKER'S OVEN PUMPKIN PIE	35	Gelatin/Rennet/Pudding Mix/Pie Filling
79	LANCE TOAST CHEESE SNACK CRACKERS	3	Bakery Prod/Dough/Mix/Icing
80	M AND M PEANUT CANDIES	34	Choc/Cocoa Prod
81	DEAD SEA RUM FACIAL CREAM	53	Cosmetics
82	COCA-COLA VANILLA COKE	29	Soft Drink/Water
83	POLAND SPRINGS SPRING WATER	29	Soft Drink/Water
84	V8 VEGETABLE JUICE	24	Vegetables/Vegetable Products
85	BUNNY LOVE FRESH BABY CARROTS	25	Vegetables/Vegetable Products
86	MISTIC SPARKLING LIME KIWI WATER	29	Soft Drink/Water
87	OTIS SPUNKMEYERS BANANA NUT MUFFINS	3	Bakery Prod/Dough/Mix/Icing
88	BUTTER FINGERS PEANUT BUTTER CANDIES	34	Choc/Cocoa Prod
89	HARRY AND DAVID'S RASPBERRY CHOCOLATE COVERED TRUFFLES	34	Choc/Cocoa Prod
90	VITA SHRIMP COCKTAIL	16	Fishery/Seafood Prod
91	SKIPPY SKIPPY SQUEEZE IT	23	Nuts/Edible Seed
92	SUBWAY CHICKEN WRAP SANDWICH	37	Mult Food Dinner/Grav/Sauce/Special
93	MAYONNAISE	27	Dressing/Condiment
94	SALLY HANSEN BRUSH-ON BIKINI HAIR REMOVER CREAM	53	Cosmetics
95	CAMELOT WATER, SPRING	29	Soft Drink/Water
